Month,Year,Switzerland,France,Portugal,Soviet Union,Spain,Vichy France,Belgium,Danzig,Czechoslovakia,Reichkommissariat Ostland,Reichskommissariat Ostland,Reichskommissariat Ukraine,Serbian Residual State,Transnistria,Montenegro,Italian Social Republic,Czecho-Slovakia,Ireland,United Kingdom,Germany,General Government,Protectorate of Bohemia and Moravia,Protectorate of Bohemia Moravia,Slovakia,Romania,Yugoslavia,Hungary,Bulgaria,Finland,Albania,Liechtenstein,Vatican,San Marino,Monaco,Andorra,Cyprus,Malta,Iceland,Luxembourg,Poland,Gibraltar,Turkey,Norway,Sweden,Denmark,Italy,Netherlands,Lithuania,Latvia,Estonia,Greece,Croatia,Austria,Carpatho-Ukraine,Austria,Carpatho-Ukraine
Feburary,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
March,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
April,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
May,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
June,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
July,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
August,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
September,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
October,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
November,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
December,1938,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
January,1939,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
Feburary,1939,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,O,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
March,1939,N,L,N,L,N,X,N,N,N,X,X,X,X,O,O,X,N,N,L,X,O,X,X,X,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
April,1939,N,L,N,L,N,X,N,N,O,X,X,X,X,O,O,X,O,N,L,X,O,X,X,X,N,N,N,N,N,N,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,N,N,N,N,N,N,O,X,N,X,N
May,1939,N,L,N,L,N,X,N,N,O,X,X,X,X,O,O,X,O,N,L,X,O,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
June,1939,N,L,N,L,N,X,N,N,O,X,X,X,X,O,O,X,O,N,L,X,O,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
July,1939,N,L,N,L,N,X,N,N,O,X,X,X,X,O,O,X,O,N,L,X,O,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
August,1939,N,L,N,L,N,X,N,N,O,X,X,X,X,O,O,X,O,N,L,X,O,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,N,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
September,1939,N,L,N,L,N,X,N,L,O,X,X,X,X,O,O,X,O,N,L,X,O,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,L,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
October,1939,N,L,N,L,N,X,N,X,O,X,X,X,X,O,O,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
November,1939,N,L,N,L,N,X,N,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
December,1939,N,L,N,L,N,X,N,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
January,1940,N,L,N,L,N,X,N,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
Feburary,1940,N,L,N,L,N,X,N,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
March,1940,N,L,N,L,N,X,N,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
April,1940,N,L,N,L,N,X,N,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,N,X,L,N,N,N,N,X,N,N,N,N,N,O,X,N,X,N
May,1940,N,L,N,L,N,X,L,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,L,X,L,N,N,N,X,X,L,N,N,N,N,O,X,N,X,N
June,1940,N,L,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,N,N,N,N,O,X,N,X,N
July,1940,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,N,N,N,N,O,X,N,X,N
August,1940,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,N,N,N,N,O,X,N,X,N
September,1940,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,N,N,N,N,O,X,N,X,N
October,1940,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,N,N,N,N,O,X,N,X,N
November,1940,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,N,N,N,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,N,O,X,N,X,N
December,1940,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,X,N,X,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,N,O,X,X,X,N
January,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,X,N,X,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,N,O,X,X,X,N
Feburary,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,X,N,X,N,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,N,X,X,X,X,N
March,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,X,N,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,N,X,X,X,X,N
April,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,X,N,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,N,X,X,X,X,N
May,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,L,X,X,X,X,N
June,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,X,X,X,X,X,N
July,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,O,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,X,X,X,X,X,N
August,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,L,L,L,X,X,X,X,X,N
September,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,O,O,O,X,X,X,X,X,N
October,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,O,O,O,X,X,X,X,X,N
November,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,O,O,O,X,X,X,X,X,N
December,1941,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
January,1942,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
Feburary,1942,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
March,1942,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
April,1942,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
May,1942,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
June,1942,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
July,1942,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
August,1942,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
September,1942,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
October,1942,N,X,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
November,1942,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
December,1942,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
January,1943,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
Feburary,1943,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
March,1943,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
April,1943,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
May,1943,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
June,1943,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
July,1943,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
August,1943,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
September,1943,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
October,1943,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
November,1943,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
December,1943,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
January,1944,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
Feburary,1944,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
March,1944,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
April,1944,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
May,1944,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
June,1944,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
July,1944,N,L,N,L,N,X,X,X,O,X,X,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,X,L,N,X,N,X,X,X,X,X,X,X,X,X,X,X,N
August,1944,N,L,N,L,N,X,X,L,O,X,L,X,X,X,X,X,O,N,L,X,X,X,X,X,X,X,X,X,N,X,N,N,N,N,N,L,L,N,X,L,L,N,X,N,X,X,X,L,L,X,X,X,X,X,X,N
September,1944,N,L,N,L,N,X,X,L,O,X,L,X,X,L,X,X,O,N,L,X,X,X,X,X,L,X,X,L,N,X,N,N,N,N,N,L,L,N,X,L,L,N,X,N,X,X,X,L,L,L,X,X,X,X,X,N
October,1944,N,L,N,L,N,X,L,L,O,X,L,X,X,L,X,X,O,N,L,X,X,X,X,X,L,X,X,L,N,X,N,N,N,N,N,L,L,N,L,L,L,N,X,N,X,X,X,L,L,L,X,X,X,X,X,N
November,1944,N,L,N,L,N,X,L,L,O,X,L,X,L,L,X,X,O,N,L,X,X,X,X,X,L,X,X,L,N,X,N,N,N,N,N,L,L,N,L,L,L,N,X,N,X,X,X,L,L,L,L,X,X,X,X,N
December,1944,N,L,N,L,N,X,L,L,O,X,L,X,L,L,X,X,O,N,L,X,L,X,X,X,L,L,L,L,N,X,N,N,N,N,N,L,L,N,L,L,L,N,X,N,X,X,X,L,L,L,L,X,X,L,X,N
January,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feburary,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feburary,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
